rating_22,mark_val_eu,mv_log
4.43,20000,12.206073
6.13,300000,14.914123
5.36,70000,13.458836
4.44,35000,12.765689
4.79,70000,13.458836
4.5,40000,12.89922
4.87,15000,11.91839
4.5,45000,13.017003
4.64,30000,12.611538
5.13,30000,12.611538
5.04,50000,13.122363
5,35000,12.765689
4.56,20000,12.206073
5.63,200000,14.508657
3.8,15000,11.91839
5,60000,13.304685
4.39,20000,12.206073
4,20000,12.206073
5.11,40000,12.89922
4.6,40000,12.89922
4.45,30000,12.611538
4.25,50000,13.122363
5.27,80000,13.592367
4.76,30000,12.611538
4.75,30000,12.611538
4.66,50000,13.122363
5.61,120000,13.997832
4.57,50000,13.122363
5.25,55000,13.217673
4,10000,11.512925
4.17,35000,12.765689
5.3,120000,13.997832
4.31,30000,12.611538
4.48,30000,12.611538
5.1,10000,11.512925
4.36,7500,11.225244
4.95,70000,13.458836
4.62,60000,13.304685
4.78,60000,13.304685
5.4,80000,13.592367
5.08,30000,12.611538
3.5,30000,12.611538
4.69,50000,13.122363
4.25,20000,12.206073
4.93,20000,12.206073
4.8,20000,12.206073
4.5,40000,12.89922
5.53,80000,13.592367
4.5,40000,12.89922
5,30000,12.611538
4.73,110000,13.910821
4.48,20000,12.206073
4.15,40000,12.89922
5,70000,13.458836
5.72,100000,13.815511
4.69,70000,13.458836
4.57,70000,13.458836
5.23,15000,11.91839
4.3,50000,13.122363
4.48,30000,12.611538
5,40000,12.89922
5.39,110000,13.910821
4.5,35000,12.765689
5.3,90000,13.71015
4.5,30000,12.611538
4.59,35000,12.765689
5.37,90000,13.71015
4,15000,11.91839
5,35000,12.765689
4.26,15000,11.91839
3.5,15000,11.91839
3.79,20000,12.206073
5.83,100000,13.815511
4.75,50000,13.122363
5.62,170000,14.346139
5.29,35000,12.765689
4.69,40000,12.89922
4.97,170000,14.346139
4,60000,13.304685
4.52,35000,12.765689
4.15,20000,12.206073
5.31,200000,14.508657
4.6,25000,12.429216
4.56,80000,13.592367
3.8,30000,12.611538
5.35,100000,13.815511
3.5,35000,12.765689
5.03,40000,12.89922
5.23,60000,13.304685
4.44,25000,12.429216
5.43,90000,13.71015
4.81,40000,12.89922
4.5,10000,11.512925
4.82,40000,12.89922
5.21,60000,13.304685
4.65,30000,12.611538
5.67,50000,13.122363
4.33,40000,12.89922
4.14,15000,11.91839
4.76,30000,12.611538
5,40000,12.89922
5.74,100000,13.815511
4.88,20000,12.206073
5.27,65000,13.384727
5.14,50000,13.122363
4.9,130000,14.077875
4.57,20000,12.206073
5.15,15000,11.91839
4.57,10000,11.512925
4.42,35000,12.765689
4.45,20000,12.206073
5,40000,12.89922
4.73,60000,13.304685
4.3,30000,12.611538
5.08,20000,12.206073
5.4,15000,11.91839
4.9,30000,12.611538
4,15000,11.91839
5.8,130000,14.077875
5.04,100000,13.815511
4.96,40000,12.89922
5.3,450000,15.319588
4.5,30000,12.611538
4.18,20000,12.206073
4.08,15000,11.91839
4,20000,12.206073
4.32,30000,12.611538
6.25,90000,13.71015
4.71,20000,12.206073
5.5,100000,13.815511
4.68,70000,13.458836
4.71,30000,12.611538
4.81,15000,11.91839
5.26,100000,13.815511
4.4,30000,12.611538
5.38,60000,13.304685
4.38,20000,12.206073
4.87,70000,13.458836
5.92,60000,13.304685
